"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"x_only_worker_3",7.27595761418343,7.27595761418343,-3.63797880709171,218.278728425503,47.2937244921923,-10.9139364212751,32.7418092638254,14.5519152283669,14.5519152283669,18.1898940354586,36.3797880709171,0,3.63797880709171,625.732354819775,105.50138540566,-3.63797880709171,-50.931703299284,-29.1038304567337,-18.1898940354586,-29.1038304567337,-50.931703299284,0,-3.63797880709171,0,0,0,0,0,0,0,0,0,0
"x_university_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_metropolitana_3",3.63797880709171,3.63797880709171,3.63797880709171,47.2937244921923,10.9139364212751,0,7.27595761418343,3.63797880709171,7.27595761418343,3.63797880709171,7.27595761418343,3.63797880709171,7.27595761418343,109.139364212751,21.8278728425503,0,-7.27595761418343,0,0,0,-3.63797880709171,0,-3.63797880709171,0,0,3.63797880709171,0,3.63797880709171,3.63797880709171,0,0,3.63797880709171,0
"PH_4",-112.777343019843,-50.931703299284,7.27595761418343,-974.978320300579,-687.577994540334,14.5519152283669,174.622982740402,47.2937244921923,120.053300634027,47.2937244921923,54.5696821063757,43.6557456851006,10.9139364212751,-622.094376012683,-316.504156216979,-7.27595761418343,0,3.63797880709171,3.63797880709171,0,0,0,0,-2593.87888945639,-1782.60961547494,-7.27595761418343,-294.676283374429,-90.9494701772928,-200.088834390044,-61.8456397205591,-69.1215973347425,-65.4836185276508,-10.9139364212751
"theta_w_4",-54.5696821063757,-21.8278728425503,10.9139364212751,-723.957782611251,-542.058842256665,10.9139364212751,112.777343019843,32.7418092638254,80.0355337560177,29.1038304567337,36.3797880709171,29.1038304567337,7.27595761418343,-411.091605201364,-240.106601268053,-3.63797880709171,-3.63797880709171,3.63797880709171,3.63797880709171,0,0,0,0,-1782.60961547494,-1280.56854009628,-3.63797880709171,-196.450855582952,-61.8456397205591,-130.967237055302,-40.0177668780088,-40.0177668780088,-43.6557456851006,-3.63797880709171
"sigma_4",7.27595761418343,7.27595761418343,0,43.6557456851006,25.465851649642,3.63797880709171,7.27595761418343,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,0,0,0,3.63797880709171,3.63797880709171,3.63797880709171,0,0,3.63797880709171,-7.27595761418343,-3.63797880709171,0,0,0,0,0,0,3.63797880709171,0
"asc_4",-65.4836185276508,-29.1038304567337,-18.1898940354586,-345.607986673713,-200.088834390044,-21.8278728425503,47.2937244921923,10.9139364212751,32.7418092638254,14.5519152283669,21.8278728425503,14.5519152283669,3.63797880709171,-123.691279441118,-47.2937244921923,0,-3.63797880709171,0,0,0,0,0,0,-294.676283374429,-196.450855582952,0,-83.6735125631094,-25.465851649642,-61.8456397205591,-21.8278728425503,-18.1898940354586,-18.1898940354586,-3.63797880709171
"x_female_4",-25.465851649642,-7.27595761418343,-7.27595761418343,-138.243194669485,-87.3114913702011,-7.27595761418343,14.5519152283669,10.9139364212751,10.9139364212751,3.63797880709171,7.27595761418343,7.27595761418343,3.63797880709171,-40.0177668780088,-18.1898940354586,0,0,0,3.63797880709171,3.63797880709171,0,0,3.63797880709171,-90.9494701772928,-61.8456397205591,0,-25.465851649642,-25.465851649642,-18.1898940354586,-7.27595761418343,-3.63797880709171,-3.63797880709171,0
"x_mayor45_4",-43.6557456851006,-18.1898940354586,-7.27595761418343,-323.780113831162,-189.174897968769,-10.9139364212751,36.3797880709171,10.9139364212751,36.3797880709171,10.9139364212751,21.8278728425503,10.9139364212751,3.63797880709171,-58.2076609134674,-25.465851649642,0,0,3.63797880709171,3.63797880709171,3.63797880709171,0,0,3.63797880709171,-200.088834390044,-130.967237055302,0,-61.8456397205591,-18.1898940354586,-58.2076609134674,-14.5519152283669,-14.5519152283669,-7.27595761418343,0
"x_underage_in_household_4",-25.465851649642,-10.9139364212751,-7.27595761418343,-120.053300634027,-72.7595761418343,-7.27595761418343,14.5519152283669,3.63797880709171,7.27595761418343,10.9139364212751,3.63797880709171,3.63797880709171,0,-65.4836185276508,-21.8278728425503,-3.63797880709171,-3.63797880709171,0,0,0,0,0,0,-61.8456397205591,-40.0177668780088,0,-21.8278728425503,-7.27595761418343,-14.5519152283669,-21.8278728425503,-3.63797880709171,-3.63797880709171,-3.63797880709171
"x_only_worker_4",-10.9139364212751,-3.63797880709171,-3.63797880709171,-87.3114913702011,-50.931703299284,-3.63797880709171,21.8278728425503,3.63797880709171,14.5519152283669,3.63797880709171,21.8278728425503,7.27595761418343,0,-98.2254277914762,-32.7418092638254,0,-3.63797880709171,0,0,3.63797880709171,0,0,0,-69.1215973347425,-40.0177668780088,0,-18.1898940354586,-3.63797880709171,-14.5519152283669,-3.63797880709171,-18.1898940354586,-3.63797880709171,0
"x_university_4",-10.9139364212751,-3.63797880709171,-3.63797880709171,-50.931703299284,-25.465851649642,-3.63797880709171,14.5519152283669,3.63797880709171,7.27595761418343,3.63797880709171,7.27595761418343,14.5519152283669,0,3.63797880709171,0,0,0,0,3.63797880709171,3.63797880709171,0,0,3.63797880709171,-65.4836185276508,-43.6557456851006,3.63797880709171,-18.1898940354586,-3.63797880709171,-7.27595761418343,-3.63797880709171,-3.63797880709171,-18.1898940354586,0
"x_metropolitana_4",-3.63797880709171,0,0,-43.6557456851006,-25.465851649642,0,3.63797880709171,0,3.63797880709171,0,3.63797880709171,0,3.63797880709171,-14.5519152283669,-10.9139364212751,0,-3.63797880709171,0,0,0,0,0,0,-10.9139364212751,-3.63797880709171,0,-3.63797880709171,0,0,-3.63797880709171,0,0,-3.63797880709171
